"plantbarcode","genotype","Subpop.","Exp","treatment","image_id","Average.Root.Width..Diameter.","Network.Bushiness","Network.Depth","Ellipse.Axes.Ratio","Network.Length.Distribution","Major.Ellipse.Axis","Maximum.Number.of.Roots","Network.Width","Median.Number.of.Roots","Minor.Ellipse.Axis","Network.Area","Network.Convex.Area","Network.Perimeter","Network.Solidity","Specific.Root.Length","Network.Surface.Area","Network.Length","Network.Volume","Network.Width.to.Depth.Ratio","Average.Root.Width..Diameter._Excised","Network.Bushiness_Excised","Network.Depth_Excised","Ellipse.Axes.Ratio_Excised","Network.Length.Distribution_Excised","Major.Ellipse.Axis_Excised","Maximum.Number.of.Roots_Excised","Network.Width_Excised","Median.Number.of.Roots_Excised","Minor.Ellipse.Axis_Excised","Network.Area_Excised","Network.Convex.Area_Excised","Network.Perimeter_Excised","Network.Solidity_Excised","Specific.Root.Length_Excised","Network.Surface.Area_Excised","Network.Length_Excised","Network.Volume_Excised","Network.Width.to.Depth.Ratio_Excised"
"Ea012AA020045","CML228","ts","LT1b",100,698,0.201895527,1.714285714,39.8630137,0.202517113,0.278800349,33.6350249,12,8.808219178,7,6.811668131,91.31863389,252.3929443,1046.876712,0.361811358,18.370251,496.6795961,783.0684932,42.62698932,0.220962199,0.116336365,3,17.47945205,0.238330796,0.12393261,13.56690464,3,1.671232877,1,3.233411183,5.327641208,38.45805967,113.3972603,0.138531201,63.70623638,24.38211988,66.71232877,1.047186784,0.095611285
"Ea012AA020046","CML228","ts","LT1b",100,840,0.22795229,1.4,39.45205479,0.235406763,0.280436319,34.06314638,14,10.32876712,10,8.018695009,122.8757741,298.7652468,1306.273973,0.411278673,12.11550233,693.1188749,967.8630137,79.88632971,0.261805556,0.196944844,1,16.19178082,0.201313919,0.495287061,19.4635383,1,0.876712329,1,3.918281167,3.996059298,41.80709326,49.15068493,0.095583285,31.16920885,14.78148643,23.89041096,0.766474731,0.054145516
"Ea012AA020047","CML228","ts","LT1b",100,934,0.233556981,1.909090909,36.73972603,0.363013793,0.139351846,29.83116815,21,11.91780822,11,10.82912549,156.3486583,336.5515106,1647.835616,0.464560857,10.74215051,952.8580398,1298.630137,120.8910763,0.324384788,0.086925578,1,11.79452055,0.158130025,0.528089888,13.88751298,1,0.287671233,1,2.196032772,1.317320323,16.27735035,36.78082192,0.080929653,159.3472884,4.575104883,16.75342466,0.105137808,0.024390244
"Ea012AA020048","CML228","ts","LT1b",100,1100,0.202535412,1.6,39.23287671,0.220806387,0.27470574,35.22298036,16,9.219178082,10,7.777459013,116.1000188,285.8646087,1408.726027,0.406136385,15.88199724,643.7709933,1011.767123,63.70528265,0.234986034,0.1401291,2,19.26027397,0.179957968,0.673663168,22.85290744,2,2.068493151,1,4.112562784,5.353537249,63.77603678,89.12328767,0.083942771,51.78268594,20.19623857,45.87671233,0.885946943,0.107396871
"Ea012AB020049","CML228","ts","LT1b",75,106,0.203787042,1.444444444,37.73972603,0.23470033,0.339028007,31.82982876,13,12.54794521,9,7.470471308,104.4468005,328.8225746,1204.863014,0.317638777,17.59419741,562.2849397,878.2739726,49.91838798,0.332486388,0.132004688,2,10.16438356,0.370535919,0.495769882,11.35002265,2,1.383561644,1,4.205591068,2.775192344,27.44558078,51.45205479,0.101116182,62.02455621,10.04381324,24.21917808,0.390477249,0.136118598
"Ea012AB020050","CML228","ts","LT1b",75,149,0.231427633,1.375,31.89041096,0.207400421,0.268009099,30.20307099,11,6.383561644,8,6.26412964,79.17151436,192.6211297,839.0821918,0.411021961,12.68986254,449.5468066,618.3150685,48.72511948,0.200171821,0.091053625,1.5,20.16438356,0.16875618,0.206246483,21.10026189,3,2.164383562,2,3.560799592,4.491649465,64.29367611,119.4657534,0.06986145,129.2304028,16.79877986,58.7260274,0.454428882,0.107336957
"Ea012AB020051","CML228","ts","LT1b",75,302,0.230395062,1.285714286,35.54794521,0.182905574,0.236309058,33.18663695,9,10.09589041,7,6.070020866,82.90054419,262.6376431,897.8630137,0.315646086,12.03059324,485.863177,671.260274,55.7961075,0.284007707,0.122449602,3,24.97260274,0.243684742,0.24151935,20.7676919,6,4.849315068,2,5.060769635,12.86770501,113.5438169,266.9315068,0.1133281,52.78035225,54.77307235,142.3835616,2.697662209,0.194185409
"Ea012AB020052","CML228","ts","LT1b",75,364,0.257919359,1.444444444,39.04109589,0.235829597,0.353218495,31.78115047,13,9.315068493,9,7.494935919,105.4250328,295.1960968,1133.342466,0.357135592,7.503806259,662.4185576,817.5205479,108.9474488,0.238596491,0.133290965,2,19.69863014,0.11036033,0.243364486,21.12607573,2,1.657534247,1,2.331480693,5.208669544,38.74957778,93.69863014,0.134418743,58.71987171,19.0787523,45.56164384,0.775915248,0.084144645
"Ea012AB020053","CML228","ts","LT1b",75,500,0.177849226,1.636363636,39.34246575,0.204466982,0.181494447,36.11068492,18,9.616438356,11,7.383442775,114.8570088,307.755958,1541.917808,0.373208076,23.46543835,599.295139,1072.60274,45.70989571,0.244428969,0.092164528,1.75,31.12328767,0.187379961,0.087194455,27.12594434,7,6.178082192,4,5.082858405,15.54606868,161.4867705,414.260274,0.096268373,119.2647824,59.09858492,204.109589,1.711398663,0.198503521
"Ea012AC020064","CML228","ts","LT1b",50,607,0.140624347,1.5,30.34246575,0.151844226,0.461445667,29.50267963,9,5.04109589,6,4.479811548,38.46894352,163.0092888,669.1917808,0.23599234,38.38044841,183.2921179,414.890411,10.80994173,0.166139955,0.090610824,3,17.94520548,0.194003749,0.230873392,19.11774938,3,2.849315068,1,3.708915048,3.881778945,63.002158,106.0136986,0.061613428,128.6159658,14.17852221,49.80821918,0.387263112,0.158778626
"Ea012AC020065","CML228","ts","LT1b",50,747,0.132287677,1.5,32.64383562,0.145275516,0.394642601,31.42443702,9,5.98630137,6,4.565201317,36.82191781,184.7954588,684.9452055,0.199257699,46.42247047,166.2831416,400.109589,8.618877561,0.183382291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea012AC020066","CML228","ts","LT1b",50,814,0.191046521,1.333333333,38.90410959,0.05673158,0.479985831,41.47897946,4,2.547945205,3,2.353168027,28.64402327,127.1935635,358.8082192,0.225200258,19.30094018,137.4024803,228.9315068,11.8611583,0.065492958,0.126347082,1,20.65753425,0.180977445,0.360981671,20.96040845,2,0.835616438,2,3.793361169,6.124601239,63.52261212,113.0821918,0.09641608,62.85257067,23.82130127,60.01369863,0.954832841,0.040450928
"Ea012AC020067","CML228","ts","LT1b",50,930,0.149198809,1.625,33.43835616,0.202799342,0.31418704,30.10097176,13,6.547945205,8,6.10445728,58.36967536,206.3538187,933.9589041,0.282862104,36.63321815,278.5363737,594.2465753,16.22152258,0.195821385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ea012AC020068","CML228","ts","LT1b",50,1131,0.172170763,1.5,33.45205479,0.210991253,0.504184274,32.61225187,6,12.56164384,4,6.880899899,29.75661475,277.9977482,426.1780822,0.10703905,25.17823644,134.4668362,248.6027397,9.873715352,0.375511876,0.116140103,2,22.31506849,0.195989866,0.334176415,22.60229124,2,3.01369863,1,4.429820034,5.447738788,63.94651905,116.109589,0.085192108,71.46572204,21.08719161,57.79452055,0.808702675,0.135052179
"Ea012AD020069","CML228","ts","LT1b",25,50,0.137521419,1.5,30.15068493,0.147247354,0.289617486,30.42556503,9,4.97260274,6,4.480083932,34.36610996,154.8187277,591.0821918,0.22197644,46.01688915,150.8457634,349.1506849,7.587446509,0.164925034,0.083717978,1,10.4109589,0.148705538,0.559689923,13.36899663,1,0.164383562,1,1.988043832,1.044661287,14.37877651,30.45205479,0.072653003,169.9483143,3.624463432,13.78082192,0.081088312,0.015789474
"Ea012AD020070","CML228","ts","LT1b",25,148,0.13897144,1.75,41.28767123,0.134312471,0.506411104,40.30750757,7,6.315068493,4,5.413800941,31.51660724,268.0407206,552.8356164,0.117581415,40.40958145,136.3122879,312.2191781,7.726365057,0.152952887,0.091325064,1,18.90410959,0.184723535,0.458832934,22.23694704,1,0.136986301,1,4.107687464,2.06999437,47.3419028,57.45205479,0.043724359,145.9228718,7.168723503,24.98630137,0.171229507,0.007246377
"Ea012AD020071","CML228","ts","LT1b",25,260,0.129299941,1.666666667,30.39726027,0.148755448,0.249550867,30.11326013,10,5.821917808,6,4.479511499,37.17733158,155.0721524,681.3561644,0.239742152,52.41449231,166.4227571,409.6986301,7.816514328,0.191527715,0.081328536,1,18.61643836,0.155863443,0.777486911,23.27802026,1,2.410958904,1,3.62819239,2.011446801,51.9867705,60.95890411,0.038691513,183.8570618,7.122531509,27.87671233,0.151621657,0.12950699
"Ea012AD020072","CML228","ts","LT1b",25,367,0.119701142,1.222222222,29.80821918,0.204562845,0.340710426,31.74255281,11,7.739726027,9,6.493346912,40.2696566,224.1583787,826.3150685,0.179648233,58.97717958,173.8237027,462.2328767,7.837486974,0.259650735,0.087240716,3,18.80821918,0.090056912,0.206399437,19.84662615,3,1.123287671,1,1.787325866,3.450553575,28.20219553,97.46575342,0.12235053,140.2186185,12.88151526,47,0.335190865,0.059723234
"Ea012AD020073","CML228","ts","LT1b",25,468,0.122706181,1.5,33.79452055,0.17858155,0.358435798,33.75623259,12,8.561643836,8,6.028240352,49.87933946,249.2122349,989.6986301,0.200148036,55.70460127,219.9474262,570.5616438,10.24263043,0.253344143,0.088935226,2,16.49315068,0.197286394,0.504781421,19.81190565,2,0.726027397,1,3.908619416,2.37492963,47.66175643,65.79452055,0.049828832,146.7749514,8.431703431,30.17808219,0.20560785,0.044019934
"Ea013AA020084","CML52","ts","LT1b",100,658,0.175517073,1.5,33.84931507,0.164159423,0.352892459,29.98920241,9,5.808219178,6,4.923010155,48.98930381,163.0959842,656.6575342,0.300371,25.9692242,246.7793452,447.5479452,17.23378187,0.171590449,0.095212161,2,16.73972603,0.172058975,0.458395615,18.15933989,2,0.97260274,1,3.124477403,3.180334021,38.15828486,81.69863014,0.083345833,116.3415548,11.99339558,40.09589041,0.344639458,0.058101473
"Ea013AA020085","CML52","ts","LT1b",100,704,0.169142478,1.333333333,31.5890411,0.191305025,0.246852565,30.5297841,12,7.547945205,9,5.840501125,68.46012385,192.4127416,976.260274,0.355798287,26.7299242,348.9179985,656.630137,24.56535724,0.238941891,0.166133732,1,11.89041096,0.32334688,1.412746586,15.22819933,1,3.547945205,1,4.923990745,3.134734472,32.84490524,42.06849315,0.095440509,42.36486939,11.36794484,21.78082192,0.514124609,0.298387097
